wl,f
299782458000000.0,3.002176998628786e-19
569586670200000.0,1.5800931571730452e-19
839390882400000.0,1.072206070938852e-19
1109195094600000.0,8.113991888185906e-20
1378999306800000.0,6.526471736149534e-20
1648803519000000.0,5.458503633870519e-20
1918607731200000.0,4.690901560357478e-20
2188411943400000.0,4.1125712309983366e-20
2458216155600000.0,3.661191461742422e-20
2728020367800000.0,3.2990956028887757e-20
2997824580000000.0,3.002176998628786e-20
