wl,f
299782457999999.94,1.7877416368026858e-19
272802036779999.94,1.7877416368026858e-19
245821615559999.94,1.7877416368026839e-19
218841194339999.97,1.7877416368026858e-19
191860773119999.97,1.7877416368026858e-19
164880351899999.97,1.7877416368026839e-19
137899930680000.0,1.7877416368026858e-19
110919509460000.0,1.7877416368026858e-19
83939088240000.0,1.7877416368026858e-19
56958667020000.0,1.787741636802686e-19
29978245799999.996,1.787741636802686e-19
